Year,Race,No,Driver,Car,Pos (race),Points,Pos (qualifying),AvgAirTemp,AvgHumidity,AvgPressure,TotalRainfall,AvgTrackTemp,AvgWindDirection,AvgWindSpeed,Name
2022,Miami,14,1.2,1.2,11,0,11,30.62,58.86,1009.3,9,42.82,174.39,2.27,Fernando Alonso ALO
2022,Miami,22,1.0,1.0,12,0,9,30.62,58.86,1009.3,9,42.82,174.39,2.27,Yuki Tsunoda TSU
2022,Miami,3,1.0,1.9,13,0,14,30.62,58.86,1009.3,9,42.82,174.39,2.27,Daniel Ricciardo RIC
2022,Miami,4,1.6,1.9,18,0,8,30.62,58.86,1009.3,9,42.82,174.39,2.27,Lando Norris NOR
2022,Miami,18,1.0,1.9,10,1,10,30.62,58.86,1009.3,9,42.82,174.39,2.27,Lance Stroll STR
2022,Miami,23,1.2,1.9,9,2,18,30.62,58.86,1009.3,9,42.82,174.39,2.27,Alexander Albon ALB
2022,Miami,31,1.4,1.2,8,4,20,30.62,58.86,1009.3,9,42.82,174.39,2.27,Esteban Ocon OCO
2022,Miami,77,1.5,1.6,7,6,5,30.62,58.86,1009.3,9,42.82,174.39,2.27,Valtteri Bottas BOT
2022,Miami,44,2.2,1.9,6,8,6,30.62,58.86,1009.3,9,42.82,174.39,2.27,Lewis Hamilton HAM
2022,Miami,63,1.8,1.9,5,10,12,30.62,58.86,1009.3,9,42.82,174.39,2.27,George Russell RUS
2022,Miami,11,1.3,1.8,4,12,4,30.62,58.86,1009.3,9,42.82,174.39,2.27,Sergio Perez PER
2022,Miami,55,1.6,1.6,3,15,2,30.62,58.86,1009.3,9,42.82,174.39,2.27,Carlos Sainz SAI
2022,Miami,16,1.7,1.6,2,18,1,30.62,58.86,1009.3,9,42.82,174.39,2.27,Charles Leclerc LEC
2022,Miami,1,2.1,1.8,1,26,3,30.62,58.86,1009.3,9,42.82,174.39,2.27,Max Verstappen VER
2022,Miami,20,1.0,1.6,16,0,16,30.62,58.86,1009.3,9,42.82,174.39,2.27,Kevin Magnussen MAG
2022,Miami,10,1.4,1.0,18,0,7,30.62,58.86,1009.3,9,42.82,174.39,2.27,Pierre Gasly GAS
2022,Spain,24,0.9,1.6,19,0,15,36.57,7.11,996.02,0,48.96,176.83,3.49,Zhou Guanyu ZHO
2022,Spain,23,1.2,1.9,18,0,19,36.57,7.11,996.02,0,48.96,176.83,3.49,Alexander Albon ALB
2022,Spain,22,1.0,1.0,10,1,13,36.57,7.11,996.02,0,48.96,176.83,3.49,Yuki Tsunoda TSU
2022,Spain,18,1.0,1.9,15,0,18,36.57,7.11,996.02,0,48.96,176.83,3.49,Lance Stroll STR
2022,Spain,10,1.4,1.0,13,0,14,36.57,7.11,996.02,0,48.96,176.83,3.49,Pierre Gasly GAS
2022,Spain,55,1.6,1.6,4,12,3,36.57,7.11,996.02,0,48.96,176.83,3.49,Carlos Sainz SAI
2022,Spain,14,1.2,1.2,9,2,17,36.57,7.11,996.02,0,48.96,176.83,3.49,Fernando Alonso ALO
